long_name,age,nationality,club,overall
Alex Bass,21,England,Portsmouth,58
Joe Powell,20,England,West Ham United,58
Remo Arnold,22,Switzerland,FC Luzern,58
Osman Kakay,21,Sierra Leone,Queens Park Rangers,58
Jack Evans,21,Wales,Swansea City,58
Mésaque Geremias Djú,20,Portugal,West Ham United,58
Tyler Smith,20,England,Bristol Rovers,58
Kevin Kouassivi-Benissan,20,Finland,HJK Helsinki,58
Javier López Vegara,18,Spain,Elche CF,58
Yannis Letard,20,France,FC St. Gallen,58
Clinton Antwi,19,Ghana,FC Nordsjælland,58
Jesse Debrah,19,England,Millwall,58
Manuel Salaba,19,Austria,SV Mattersburg,58
Facundo Almada,20,Argentina,Rosario Central,58
Iván Smith,20,Argentina,Godoy Cruz,58
Udoka Godwin-Malife,19,England,Forest Green Rovers,58
Andrei Sîntean,20,Romania,FC Hermannstadt,58
Cristián Zavala,19,Chile,Coquimbo Unido,58
Brahima Doukansy,19,France,Chamois Niortais Football Club,58
Maximilian Zaiser,20,Germany,Bayern München II,58
Jannik Rochelt,20,Germany,Bayern München II,58
Andrei Dumiter,20,Romania,Sepsi OSK,58
Maurice Opfermann Arcones,19,Germany,1. FC Union Berlin,58
Lilian Brassier,19,France,Valenciennes FC,58
Zinédine Ould Khaled,19,France,Angers SCO,58
David Grözinger,20,Germany,VfB Stuttgart,58
Rick Zuijderwijk,18,Netherlands,Willem II,58
Furkan Sagman,19,Germany,Sivasspor,58
Dimitar Mitov,22,Bulgaria,Cambridge United,58
Oskar Buur Rasmussen,21,Denmark,Wolverhampton Wanderers,58
Muteb Al Mutlaq,21,Saudi Arabia,Al Nassr,58
Luis Hernández,21,Mexico,Deportivo Toluca,58
Rory Holden,21,Northern Ireland,Walsall,58
Daniel Nussbaumer,19,Austria,SCR Altach,58
Kosovar Sadiki,20,Canada,Hibernian,58
Antonios Papadopoulos,19,Germany,Hallescher FC,58
Gabriel Jesús Lorente Navarro,21,Spain,AD Alcorcón,58
Lino Tempelmann,20,Germany,SC Freiburg,58
Adrian Pereira,19,Norway,Viking FK,58
品田 愛斗,19,Japan,FC Tokyo,58
Leon Schaffran,20,Germany,SpVgg Greuther Fürth,58
Brent Gabriël,20,Belgium,Waasland-Beveren,58
Marcin Grabowski,19,Poland,Wisła Kraków,58
Isaac Hutchinson,19,England,Southend United,58
Daniel Kinumbe,20,Canada,Montreal Impact,58
Ismet Lushaku,18,Kosovo,AFC Eskilstuna,58
Niclas Thiede,20,Germany,SC Freiburg,58
Frederik Jäkel,18,Germany,RB Leipzig,58
Mattias Andersson,21,Sweden,FC Sion,58
Kevin Lidin,20,Sweden,Pisa,58
Jhon Fredy Miranda Rada,22,Colombia,Independiente Santa Fe,58
Qasem Lajami,23,Saudi Arabia,Al Fateh,58
Mateo López,22,Colombia,Independiente Medellín,58
José Palacios,22,Colombia,Independiente Santa Fe,58
Rayan Senhadji,22,France,FC Sochaux-Montbéliard,58
Benjamin Ozegovic,19,Austria,SCR Altach,58
문정인 文政仁,21,Korea Republic,Ulsan Hyundai FC,58
Jordan Graham,21,England,Mansfield Town,58
Edward McGinty,19,Republic of Ireland,Sligo Rovers,58
Mickaël Nadé,20,France,AS Saint-Étienne,58
Valance Nambishi,21,Denmark,Silkeborg IF,58
Panutche Amadu Pereira Camará,22,Guinea Bissau,Crawley Town,58
Scott Martin,22,Scotland,Hamilton Academical FC,58
Lewis Ritson,20,England,Hull City,58
Timo Righetti,21,Switzerland,FC Thun,58
Diego Mercado,22,Argentina,Independiente,58
최범경 Beom Kyung Choi,22,Korea Republic,Incheon United FC,58
Eddie Clarke,20,England,Macclesfield Town,58
Mons Bassouamina,21,France,AS Nancy Lorraine,58
原 大智,20,Japan,FC Tokyo,58
Jonathan Farias,21,Argentina,Club Atlético Aldosivi,58
Nelson Balongo,20,DR Congo,Sint-Truidense VV,58
Lisandro Cabrera,21,Argentina,Patriotas Boyacá FC,58
John Björkengren,20,Sweden,Falkenbergs FF,58
Iván Tona,19,Mexico,Club Tijuana,58
Alec Van Hoorenbeeck,20,Belgium,KV Mechelen,58
Yesid Diaz,21,Colombia,Independiente Medellín,58
Justin Plautz,20,Germany,SønderjyskE,58
Lucian Buzan,20,Romania,FC Hermannstadt,58
Ramiz Zerrouki,21,Netherlands,FC Twente,58
Nadir Zortea,20,Italy,US Cremonese,58
Çayan Poshoroğlu,20,Turkey,Gençlerbirliği SK,58
Alex Jakubiak,22,Scotland,Gillingham,58
Lewis Ward,22,England,Exeter City,58
Rezan Corlu,21,Denmark,Lyngby BK,58
曹永竞,22,China PR,Beijing Renhe FC,58
Nicholas D'Agostino,21,Australia,Perth Glory,58
Ignacio Francisco Chicco,23,Argentina,Club Atlético Colón,58
Ethan Ross,22,England,Colchester United,58
Daniel Udoh,22,Nigeria,Shrewsbury,58
Shaun Want,22,Scotland,Hamilton Academical FC,58
Mohammed Rayman,22,Saudi Arabia,Al Raed,58
Callum Cockerill-Mollett,20,Republic of Ireland,Walsall,58
Jonathan Lunney,21,Republic of Ireland,Waterford FC,58
Abraham Majok,20,Kenya,Central Coast Mariners,58
Robbie McCourt,21,Republic of Ireland,Bohemian FC,58
Jack Keaney,20,Republic of Ireland,UCD AFC,58
Shane Blaney,20,Republic of Ireland,Doncaster Rovers,58
Luke Wade-Slater,21,Republic of Ireland,Bohemian FC,58
Sidy Keba Coly,21,Senegal,Roma,58
Jake Brimmer,21,Australia,Perth Glory,58
Killian Le Roy,21,France,FC Chambly Oise,58
Oliver Šarkić,21,Montenegro,Burton Albion,58
Philipp Sander,21,Germany,Holstein Kiel,58
Moussa Sylla,20,France,Racing Club de Lens,58
Georgiy Kyrnats,21,Russia,PFC CSKA Moscow,58
Henry Offia,19,Nigeria,IK Sirius,58
藤村 怜,20,Japan,Hokkaido Consadole Sapporo,58
福田 湧矢,20,Japan,Gamba Osaka,58
Benrandy Abdallah,20,France,ESTAC Troyes,58
Tapmahoe Sopacua,19,Netherlands,FC Groningen,58
Thomas Amilivia,20,Argentina,Argentinos Juniors,58
Bruno Oliveira Bertinato,21,Brazil,Venezia FC,58
Dmitriy Rybchinskiy,20,Russia,Lokomotiv Moscow,58
Diedie Traore,20,France,LA Galaxy,58
Daniel Aguilar,21,Mexico,Club Atlas,58
Angelo Mayer,22,Germany,Bayern München II,58
Jakub Apolinarski,20,Poland,Raków Częstochowa,58
Sami Lahssaini,20,Belgium,FC Metz,58
Lassana Diako,20,France,Clermont Foot 63,58
Adrián Lozano,20,Mexico,Santos Laguna,58
Jacob Gardiner-Smith,21,England,Wycombe Wanderers,58
Marco Essimi,20,Cameroon,Paris FC,58
Anıl Gözütok,18,Germany,1. FC Kaiserslautern,58
Reise Allassani,23,England,Coventry City,58
Dean O'Halloran,23,Republic of Ireland,Waterford FC,58
Georgie Poynton,21,Republic of Ireland,Waterford FC,58
Jack Ruddy,22,Scotland,Ross County FC,58
Juan Jiménez,23,Colombia,Envigado FC,58
Kristoffer Hoven,22,Norway,Kristiansund BK,58
Besard Sabovic,21,Sweden,Djurgårdens IF,58
杜长杰,21,China PR,Henan Jianye FC,58
Leonardo Fontanesi,23,Italy,Sassuolo,58
Egli Kaja,21,Albania,AFC Wimbledon,58
Lewis Thomas,21,Wales,Forest Green Rovers,58
Nikola Tzanev,22,New Zealand,AFC Wimbledon,58
Niklas Hoffmann,22,Germany,FC St. Pauli,58
宮崎 幾笑,21,Japan,FC Tokyo,58
Sheriff Sinyan,22,Gambia,Lillestrøm SK,58
Abdullah Al Yousif,22,Saudi Arabia,Al Fateh,58
Conor Levingston,21,Republic of Ireland,Bohemian FC,58
Tobias Damsgaard,21,Denmark,Randers FC,58
Abdulaziz Majrashi,23,Saudi Arabia,Al Hazem,58
Max Sprang,18,Germany,FSV Zwickau,58
Dominik Reiter,21,Austria,LASK Linz,58
Ahmed Ba Masoud,23,Saudi Arabia,Al Fayha,58
杨帅,22,China PR,Chongqing Dangdai Lifan FC SWM Team,58
Stiven Rentería,21,Colombia,Jaguares de Córdoba,58
Ola Solbakken,20,Norway,Ranheim Fotball,58
Carter Manley,23,United States,Minnesota United FC,58
张凌峰,22,China PR,Jiangsu Suning FC,58
Kenan Fatkić,21,Slovenia,FC Thun,58
Enzo Pauchet,22,France,Chamois Niortais Football Club,58
José Antonio Cobián,20,Mexico,Club Necaxa,58
Joonas Vahtera,23,Finland,HJK Helsinki,58
Lucas Ríos,21,Argentina,Unión de Santa Fe,58
Santeri Hostikka,21,Finland,Pogoń Szczecin,58
Erik Holt,22,United States,Real Salt Lake,58
Marian Târșă,21,Romania,FC Botoşani,58
Daniel Quiñones,20,Colombia,América de Cali,58
Blaž Kramer,23,Slovenia,FC Zürich,58
Leroy Kwadwo,22,Germany,FC Würzburger Kickers,58
Dirk Carlson,21,Luxembourg,Karlsruher SC,58
Manuel Cicconi,22,Italy,Virtus Entella,58
Haidar Al Ameri,22,Saudi Arabia,Al Adalah,58
Thibault Rambaud,22,France,Le Mans FC,58
Marco Stefandl,21,Germany,Hannover 96,58
Erol Hakan Sepil,20,Turkey,Göztepe SK,58
Harold Estupiñan,22,Colombia,Jaguares de Córdoba,58
Macauley Bonne,23,Zimbabwe,Charlton Athletic,58
Daniele Borra,23,Italy,Virtus Entella,58
Regan Donelon,23,Republic of Ireland,Sligo Rovers,58
Adam Pearce,22,Australia,Central Coast Mariners,58
Mohammed Ahmed Awaji,24,Saudi Arabia,Al Shabab,58
Malte Kiilerich,23,Denmark,AC Horsens,58
Danny Kane,22,Republic of Ireland,Sligo Rovers,58
Clayton Lewis,22,New Zealand,Scunthorpe United,58
James McGarry,21,New Zealand,Willem II,58
常田 克人,21,Japan,Vegalta Sendai,58
Yasin Ben El-Mhanni,23,England,Scunthorpe United,58
Omari Patrick,23,England,Bradford City,58
Nelson Federico Insfrán,24,Argentina,Gimnasia y Esgrima La Plata,58
Mathias Eriksen Ranmark,23,Norway,Molde FK,58
Alexander Weidinger,22,Germany, SSV Jahn Regensburg,58
Burak Kavlak,22,Turkey,Yeni Malatyaspor,58
张华晨,21,China PR,Shanghai SIPG FC,58
Niall Logue,23,Northern Ireland,Finn Harps,58
罗皓,24,China PR,Chongqing Dangdai Lifan FC SWM Team,58
Rodin Deprem,21,Sweden,Örebro SK,58
Janis Hanek,20,Germany,Karlsruher SC,58
Fabio De Sousa Silva,23,Brazil,Örebro SK,58
Jesús David Rivas,22,Colombia,Rionegro Águilas,58
Grzegorz Szymusik,21,Poland,Korona Kielce,58
Yousef Al Harbi,22,Saudi Arabia,Al Ahli,58
Pengchao Zu,22,China PR,Shenzhen FC,58
Marcos Rouzies,22,Argentina,Godoy Cruz,58
Carlos Villalba,20,Argentina,Club Atlético Talleres,58
Wilhelm Loeper,21,Sweden,AFC Eskilstuna,58
髙尾 瑠,22,Japan,Gamba Osaka,58
Emil Holten,22,Denmark,Silkeborg IF,58
Ayman Al Hejaili,21,Saudi Arabia,Damac FC,58
Kieran Wallace,24,England,Burton Albion,58
Sandro Tsveiba,25,Russia,AFC Eskilstuna,58
Lloyd Jones,23,England,Luton Town,58
Marko Soldo,22,Austria,Wolfsberger AC,58
Stuart Moore,24,England,Milton Keynes Dons,58
Martin Smith,23,England,Salford City,58
Gary O'Neill,24,Republic of Ireland,Shamrock Rovers,58
Hamdan Al Ruwaili,24,Saudi Arabia,Al Taawoun,58
Macaulay Gillesphey,23,England,Brisbane Roar,58
Tahvon Campbell,22,England,Cheltenham Town,58
Ryan Broom,22,Wales,Cheltenham Town,58
Franco Pizzicanella,23,Argentina,Atlético Tucumán,58
Nicholas Marfelt,24,Denmark,SønderjyskE,58
Jan Albrecht,21,Germany,SV Wehen Wiesbaden,58
Magnus Lenes,23,Norway,Ranheim Fotball,58
Marios Ogkmpoe,24,Greece,Hamilton Academical FC,58
Eric Dick,24,United States,Sporting Kansas City,58
Dominik Sváček,22,Czech Republic,Viktoria Plzeň,58
Mahame Siby,22,France,Valenciennes FC,58
Josué Reyes,21,Mexico,Cruz Azul,58
William Sell,20,Norway,Mjøndalen IF,58
Thore Baardsen Pedersen,22,Norway,FK Haugesund,58
Alexis Peyrelade,22,France,Rodez Aveyron Football,58
Mohammed Al Moqahwi,23,Saudi Arabia,Al Adalah,58
Adam Roscrow,24,Wales,AFC Wimbledon,58
Emanuel Cuevas,22,Argentina,Central Córdoba,58
Harun Kavaklıdere,21,Turkey,Antalyaspor,58
田中 駿汰,22,Japan,Hokkaido Consadole Sapporo,58
Guillermo Murillo,23,Colombia,Independiente Santa Fe,58
Dillon Barnes,23,England,Queens Park Rangers,58
Eoghan Stokes,23,Republic of Ireland,Cork City,58
Grant Smith,25,England,Lincoln City,58
Morten Sætra,22,Norway,Strømsgodset IF,58
Joe McDonnell,25,England,AFC Wimbledon,58
Nicolas Senzemba,23,France,FC Sochaux-Montbéliard,58
Jonny Maddison,24,England,Port Vale,58
Mansour Jawhar,24,Saudi Arabia,Abha Club,58
Harvey Rodgers,22,England,Accrington Stanley,58
Hubert Adamczyk,21,Poland,Wisła Płock,58
髙橋 壮也,23,Japan,AFC Eskilstuna,58
高华泽,21,China PR,Hebei China Fortune FC,58
Carlos Mosquera,24,Colombia,Deportivo Pasto,58
Sindre Mauritz-Hansen,24,Norway,Stabæk Fotball,58
Rasmus Alm,23,Sweden,IF Elfsborg,58
Tristan Blackmon,22,United States,Los Angeles FC,58
Gordon Wild,23,Germany,DC United,58
Sung Eun Na,23,Korea Republic,Jeonbuk Hyundai Motors,58
Dylan Fontani,22,France,Chamois Niortais Football Club,58
Patryk Sokołowski,24,Poland,Piast Gliwice,58
Davide Riccardi,23,Italy,Lecce,58
Sondre Liseth,21,Norway,Mjøndalen IF,58
Emaxwell Souza de Lima,24,Brazil,Kalmar FF,58
Marvin Geran,23,France,FC Chambly Oise,58
Okan Chatziterzoglou,23,Greece,Academica Clinceni,58
José de Jesus González,20,Mexico,Guadalajara,58
Denzel James,24,Netherlands,Sparta Rotterdam,58
Magnus Blakstad,25,Norway,Ranheim Fotball,58
Álvaro Delgado,24,Chile,Audax Italiano,58
Max Reinthaler,24,Italy,FC Hansa Rostock,58
Ryan Swan,23,Republic of Ireland,Bohemian FC,58
Antonio Ignacio Torres Carrillo,23,Mexico,Guadalajara,58
유인수 禹仁秀,24,Korea Republic,FC Tokyo,58
Brian Wright,24,Canada,New England Revolution,58
Robert Åstedt,23,Sweden,AFC Eskilstuna,58
김우홍 Woo Hong Kim,24,Korea Republic,FC Seoul,58
Paul Marie,24,France,San Jose Earthquakes,58
水谷 拓磨,23,Japan,Shimizu S-Pulse,58
Jerónimo Manuel Lario Martínez,24,Spain,UD Almería,58
Benedikt Zahn,23,Germany,SpVgg Greuther Fürth,58
Murat Paluli,24,Turkey,Göztepe SK,58
Michael Netolitzky,25,Germany,Bayern München II,58
Christoffer Mafoumbi,25,Congo,Blackpool,58
Nathan Boyle,25,Republic of Ireland,Finn Harps,58
Sam Hornby,24,England,Bradford City,58
Ben Tollitt,24,England,Blackpool,58
石川 慧,26,Japan,Sagan Tosu,58
Hassan Ghazwani,25,Saudi Arabia,Ettifaq FC,58
Abdulrahman Khalid Al Rio,25,Saudi Arabia,Al Wehda,58
Daniel Padilla,25,Colombia,La Equidad,58
Adrian Klimczak,21,Poland,LKS Lodz,58
Guillermo Pozos,26,Mexico,Club León,58
Yushi Mizobuchi,24,Japan,Matsumoto Yamaga,58
Gabriel Deac,24,Romania,FC Voluntari,58
Caín Fara,25,Argentina,Club Atlético Aldosivi,58
Ahmed Al Sultan,25,Saudi Arabia,Al Adalah,58
Hamad Marshad Al Dwsari,25,Saudi Arabia,Al Adalah,58
冯刚,26,China PR,Hebei China Fortune FC,58
吴毅臻,25,China PR,Shanghai Greenland Shenhua FC,58
张晨龙,26,China PR,Beijing Renhe FC,58
Riyadh Sharahili,26,Saudi Arabia,Al Adalah,58
Ethan Boyle,22,Republic of Ireland,Shamrock Rovers,58
Ethan González,26,Colombia,La Equidad,58
Junior Ogedi-Uzokwe,25,England,Derry City,58
Marcin Staniszewski,22,Poland,Arka Gdynia,58
Jordan Archer,25,England,Bury,58
Oskar Sverrisson,26,Sweden,BK Häcken,58
Cristóbal Marín,25,Chile,Audax Italiano,58
Danny Esteves,24,Portugal,Academica Clinceni,58
Omesh Patla,26,India,India,58
Viktor Noring,28,Sweden,Kalmar FF,58
Abdulrahman Al Safri,26,Saudi Arabia,Damac FC,58
Palkesh Nagarajan,29,India,India,58
Gheorghe Andronic,27,Moldova,Astra Giurgiu,58
Mohannad Awadh,27,Saudi Arabia,Al Fayha,58
Karolis Chvedukas,28,Lithuania,Waterford FC,58
Oliver Thychosen,26,Denmark,Hobro IK,58
常飞亚,26,China PR,Wuhan Zall,58
李圣龙,26,China PR,Shanghai SIPG FC,58
韩轩,28,China PR,Henan Jianye FC,58
Roberto Alejandro Salcedo Reynoso,27,Mexico,Atlético de San Luis,58
Nicolai Geertsen,28,Denmark,Lyngby BK,58
Wilson Roberto Bento De Carvalho,25,Portugal,Accrington Stanley,58
Kevin Ellison,40,England,Morecambe,58
Simone Farelli,36,Italy,Pescara,58
Derek Pender,34,Republic of Ireland,Bohemian FC,58
Barry Murphy,34,Republic of Ireland,St. Patrick's Athletic,58
Keith Cowan,33,Republic of Ireland,Finn Harps,58
Phil Edwards,33,England,Accrington Stanley,58
Laurent Héloïse,34,France,FC Chambly Oise,58
李本建,33,China PR,Henan Jianye FC,58
张翀,31,China PR,Dalian YiFang FC,58
韩锋,35,China PR,Guangzhou R&F FC,58
耿晓锋,31,China PR,Hebei China Fortune FC,58
Yong Gi Ryang,37,Korea DPR,Vegalta Sendai,58
Kristijan Miljević,26,Serbia,AFC Eskilstuna,58
Jake Carroll,27,Republic of Ireland,Motherwell,58
Adam Buxton,27,England,Morecambe,58
이광진 Kwang Jin Lee,27,Korea Republic,Gyeongnam FC,58
Mahmut Özen,30,Sweden,Falkenbergs FF,58
Abdullah Al Yousef,29,Saudi Arabia,Al Adalah,58
Kamil Juraszek,28,Poland,LKS Lodz,58
Lewis Italiano,28,Australia,Newcastle Jets,58
吕鹏,29,China PR,Beijing Sinobo Guoan FC,58
Chunyu Dong,28,China PR,Wuhan Zall,58
Facundo Emmanuel Melivillo,26,Argentina,Central Córdoba,58
杜文洋,29,China PR,Beijing Renhe FC,58
小川 大貴,27,Japan,Júbilo Iwata,58
藤田 義明,36,Japan,Júbilo Iwata,58
Pontus Silfwer,27,Sweden,Mjøndalen IF,58
Michael Nottingham,30,St Kitts Nevis,Blackpool,58
Weilong Wang,31,China PR,Shenzhen FC,58
Kai Wang,30,China PR,Wuhan Zall,58
Ben Trowley,33,England,Bury,58
Sam Tillmanson,31,England,Bury,58
Harry Crookside,28,England,Bury,58
John Popelard,33,France,FC Chambly Oise,58
Jakub Holúbek,28,Slovakia,Piast Gliwice,58
Yevhen Radionov,29,Ukraine,LKS Lodz,58
Daniel Bartl,29,Czech Republic,Raków Częstochowa,58
Saeed Hazzam,29,Saudi Arabia,Damac FC,58
Taranjot Agarwal,33,India,India,58
Amanpreet Varkay,33,India,India,58
Chapal Palan,28,India,India,58
Mohammed Al Sahli,27,Saudi Arabia,Al Raed,58
Hristo Ivanov,37,Bulgaria,Bulgaria,58
James Rowland,17,England,Shrewsbury,57
Mohamed Daramy,17,Sierra Leone,FC København,57
Leonidas Stergiou,17,Switzerland,FC St. Gallen,57
Joseph Gelhardt,17,England,Wigan Athletic,57
Ryan Schofield,19,England,Huddersfield Town,57
Djed Spence,18,England,Middlesbrough,57
Santiago Giménez,18,Mexico,Cruz Azul,57
Emil Konradsen Ceide,17,Norway,Rosenborg BK,57
Jensen Weir,17,England,Wigan Athletic,57
Dawid Szot,18,Poland,Wisła Kraków,57
Rob Nizet,17,Belgium,Norwich City,57
Tom Dele-Bashiru,19,Nigeria,Watford,57
Luca Ashby-Hammond,18,England,Fulham,57
Franco Lionel Godoy,19,Argentina,Unión de Santa Fe,57
Ilan Sauter,18,Switzerland,FC Zürich,57
Carlos Terán,18,Colombia,Envigado FC,57
Santiago Moreno,19,Colombia,América de Cali,57
Josh Bowler,20,England,Hull City,57
Joshua Gaston Kitolano,17,Norway,Odds BK,57
Robbie Burton,19,Wales,Arsenal,57
Joshua Steiger,18,Austria,Wolfsberger AC,57
Santeri Väänänen,17,Finland,HJK Helsinki,57
김태환 Tae Hwan Kim,19,Korea Republic,Suwon Samsung Bluewings,57
Stelios Kokovas,17,Greece,VfL Bochum 1848,57
Jesús Gómez,17,Mexico,Club Atlas,57
Mikael Tørset Johnsen,18,Norway,Rosenborg BK,57
Josh Neufville,19,England,Luton Town,57
Ramiro Ruiz,19,Argentina,Atlético Tucumán,57
Luca Mack,19,Germany,VfB Stuttgart,57
David Nemeth,18,Austria,SV Mattersburg,57
Tyreeq Bakinson,20,England,Bristol City,57
Joe Sbarra,20,England,Burton Albion,57
John McAtee,19,England,Scunthorpe United,57
Lagos Kunga,20,United States,Atlanta United,57
Harry Brockbank,20,England,Bolton Wanderers,57
Malachi Napa,20,England,Oxford United,57
Michael Collins,18,Republic of Ireland,Sunderland,57
Jan-Lukas Funke,19,Germany,Viktoria Köln,57
Marian Prinz,19,Germany,SC Preußen Münster,57
Alfie Bates,18,England,Walsall,57
Guillaume Dietsch,18,France,FC Metz,57
Cristian Blanco,20,Colombia,Atlético Nacional,57
Izaack Powell,17,Australia,Brisbane Roar,57
Jimmy Knowles,17,England,Mansfield Town,57
Robert Harker,19,England,Burnley,57
Bryan Lasme,20,France,FC Sochaux-Montbéliard,57
Lennard Maloney,19,Germany,1. FC Union Berlin,57
Jesper Lindstrøm,19,Denmark,Brøndby IF,57
Jeison Truque,20,Colombia,Once Caldas,57
Stan Van Dessel,17,Belgium,Sint-Truidense VV,57
Enrico Del Prato,19,Italy,Livorno,57
Jacob Bedeau,19,England,Scunthorpe United,57
Hassan Al Geed,21,Saudi Arabia,Al Shabab,57
Dylan Duncan,20,England,Queens Park Rangers,57
Luke Burgess,20,England,Wigan Athletic,57
Agustín Manzur,18,Argentina,Godoy Cruz,57
Barry Maguire,21,Scotland,Motherwell,57
Carlos Gutiérrez,20,Mexico,Atlético de San Luis,57
Tobias Koch,18,Austria,SK Sturm Graz,57
Kevin Castañeda,19,Mexico,Deportivo Toluca,57
Osman Yaman,19,Turkey,Sivasspor,57
Hassan Tombakti,20,Saudi Arabia,Al Shabab,57
Sam Jamieson,20,Scotland,St. Mirren,57
Paul Horschig,19,Germany,FC Erzgebirge Aue,57
Patrick Osterhage,19,Germany,Borussia Dortmund,57
Ryan Bouallak,19,France,ESTAC Troyes,57
Jean Hugonet,19,France,Paris FC,57
Aljaž Casar,18,Slovenia,SCR Altach,57
Sami Matoug,19,France,Paris FC,57
Aboubacar Lô,19,Senegal,FC Metz,57
Israel Reyes,19,Mexico,Club Atlas,57
Ömer Uzun,19,Germany,Kayserispor,57
Sorin Șerban,19,Romania,FCSB (Steaua),57
Shaun McWilliams,20,England,Northampton Town,57
Rekeil Pyke,21,England,Rochdale,57
William Jääskeläinen,20,Finland,Crewe Alexandra,57
Joao Paulo Castanheira,21,Switzerland,Servette FC,57
Jake Vokins,19,England,Southampton,57
Agim Zeka,20,Albania,Fortuna Sittard,57
James Delianov,19,Australia,Western United FC,57
Eoin Toal,20,Northern Ireland,Derry City,57
James Morton,20,England,Forest Green Rovers,57
Saad Al Selouli,21,Saudi Arabia,Ettifaq FC,57
Callum Morton,19,England,West Bromwich Albion,57
Victor Glaentzlin,21,France,FC Sochaux-Montbéliard,57
Sam Woods,20,England,Crystal Palace,57
Patryk Plewka,19,Poland,Wisła Kraków,57
Nawaf Al Farshan,20,Saudi Arabia,Al Nassr,57
Mounaim El Idrissy,20,France,AC Ajaccio,57
Aldhair Molina,20,Mexico,Puebla FC,57
Franco González,20,Argentina,Godoy Cruz,57
Ștefan Rusu,19,Romania,Politehnica Iaşi,57
Nesta Guinness-Walker,19,England,AFC Wimbledon,57
Tyrese Sinclair,18,England,Mansfield Town,57
Ouparine Djoco,21,France,Clermont Foot 63,57
Calvin Bombo,20,France,ESTAC Troyes,57
Dominik Steczyk,20,Poland,Piast Gliwice,57
Damian Pawłowski,20,Poland,Pogoń Szczecin,57
Charlie Rowan,21,England,Queens Park Rangers,57
Harry Pickering,20,England,Crewe Alexandra,57
Tom Lowery,21,England,Crewe Alexandra,57
Anel Ahmedhodzic,20,Sweden,Hobro IK,57
Pontus Almqvist,19,Sweden,IFK Norrköping,57
Sherwin Dandery Seedorf,21,Netherlands,Motherwell,57
Max Johnstone,20,England,St. Johnstone FC,57
Jordan Hallam,20,England,Scunthorpe United,57
İlker Karakaş,20,Turkey,Gençlerbirliği SK,57
Adrián Estacio Peña,21,Colombia,Once Caldas,57
Liridon Mulaj,20,Switzerland,Neuchâtel Xamax,57
Mario Trejo,20,Mexico,Monarcas Morelia,57
Giuliano Galoppo,20,Argentina,Club Atlético Banfield,57
Marvin Kokos,18,France,Oldham Athletic,57
Samir Bouzar,19,France,AS Nancy Lorraine,57
Alexis Gutiérrez,19,Mexico,Cruz Azul,57
Jonas Brauti,20,Norway,Stabæk Fotball,57
Jesper Löfgren,22,Sweden,SK Brann,57
Nassim el Ablak,19,Netherlands,Fortuna Sittard,57
Bertie Smith-Hylton,21,England,Bury,57
Vincent Gembalies,19,Germany,MSV Duisburg,57
Andrei Cristea,19,Romania,Gaz Metan Mediaş,57
Adrian Ioniță,19,Romania,Chindia Târgovişte,57
Blankson Anoff,18,Ghana,Clermont Foot 63,57
Victor Olatunji,19,Nigeria,SV Mattersburg,57
Nicolás Araya,20,Chile,CD Antofagasta,57
Canice Carroll,20,Republic of Ireland,Carlisle United,57
Aubin Long,22,France,FC Sochaux-Montbéliard,57
Josh Grant,20,England,Plymouth Argyle,57
Keiran Evans,20,Wales,Swansea City,57
Harry Clifton,21,Wales,Grimsby Town,57
Simon Enzler,21,Switzerland,FC Luzern,57
Kyron Stabana,20,England,AFC Wimbledon,57
Danny Amos,19,England,Doncaster Rovers,57
Tristan Abrahams,20,England,Newport County,57
Christoph Ehlich,20,Germany,SpVgg Unterhaching,57
Shandon Baptiste,21,Grenada,Oxford United,57
Cristian Barrios,21,Colombia,Patriotas Boyacá FC,57
Kasper Thiesson Kristensen,19,Denmark,Aarhus GF,57
Sami Ben Amar,21,Morocco,Nîmes Olympique,57
Abdulquddus Attiah,22,Saudi Arabia,Al Wehda,57
Ramzi Solan,21,Saudi Arabia,Al Faisaly,57
Oladapo Afolayan,21,England,West Ham United,57
James Clarke,19,Republic of Ireland,Mansfield Town,57
Uğurcan Yazğılı,20,Turkey,Kasimpaşa SK,57
Luis Barraza,22,United States,New York City FC,57
Egil Selvik,21,Norway,Odds BK,57
Alexandru Piftor,20,Romania,FC Botoşani,57
José Bandez,19,Venezuela,CD Antofagasta,57
Samir Chergui,20,France,AJ Auxerre,57
Stephan Mensah,19,Germany,SpVgg Unterhaching,57
Iuliu Hațiegan,21,Romania,Politehnica Iaşi,57
Youri Schoonderwaldt,19,Netherlands,ADO Den Haag,57
Levin Wanner,19,Switzerland,FC Thun,57
Emirhan Civelek,19,Turkey,Kayserispor,57
Harry Isted,22,England,Luton Town,57
Robbie Cundy,22,England,Exeter City,57
Josh Pask,21,England,Coventry City,57
김우석 金武胜,22,Korea Republic,Daegu FC,57
Charlie Wakefield,21,England,Coventry City,57
Octavio Patiño,22,Colombia,Rionegro Águilas,57
Ryan East,20,England,Reading,57
Michael Fabrie,21,Netherlands,Sparta Rotterdam,57
Sam Todd,21,Republic of Ireland,Finn Harps,57
Khamis Digol,20,France,ESTAC Troyes,57
Mohammed Al Zubaidi,21,Saudi Arabia,Al Hazem,57
이재형 李在衡,21,Korea Republic,Jeonbuk Hyundai Motors,57
Dane Ingham,20,New Zealand,Perth Glory,57
